names,Politicians,Gender
Penny Mordaunt,Shashi Tharoor,Male
Damian Green,Tejasvi Surya,Male
Kem Chho,Prophet Muhammad,Male
Tejabhai Meda,Anita Dunn,Female
Amit Davereuter,Dick Saslaw,Male
Vijay Nehra,Kirk Cox,Male
Mina Jadhav,Petro Poroshenko,Male
Majdur Adhikar,Bipin Rawat,Male
Mahatma Gandhi,Dilbagh Singh,Male
Sonya Sotomayor,Dan Quayle,Male
Jon Tigar,Matteo Renzi,Male
Lee Gelernt,Geert Wilder,Male
Thornton Law,Nancy Gertner,Female
Garrett Bradley,Hammad Azhar,Male
Daniel Petalas,Roger Williams,Male
Albansassociate Pressfile,Amritpal Singh,Male
Exprosecutor Brian,Katie Hobbs,Female
James Kahl,Fidel Castro,Male
Greenberg Traurig,Albert Pike,Male
Louis Postdispatch,Kangana Ranaut,Female
Gary Cameronreutersfile,Pinarayi Vijayan,Male
Brett Kappel,Dina Powell,Female
Leonard Kesten,Indira Gandhi,Female
Brody Hardoon,Kapil Mishra,Male
Kelly Brewington,Benjamin Franklin,Male
Geoffrey Berman,David Bernhardt,Male
Murray Richman,Pat Cipollone,Male
Rebecca Roiphe,Joe Scarborough,Male
Alexander Acosta,Ken Salazar,Male
David Weinstein,Tom Donilon,Male
Hinshaw Culbertson,Neera Tanden,Female
Gloria Allred,Bruce Babbitt,Male
Mary Wilson,Maura Healey,Female
Lamar Smith,John Hoeven,Male
Joseph Kopser,Richard Shelby,Male
Laura Moser,Robert Menendez,Male
Lizzie Pannill,Tina Smith,Female
Joshua Butler,Ray Buckley,Male
Conservativeleane Whitecollar,Jaime Harrison,Male
Timothy Dolan,Khalida Shah,Male
Pete Buttigiegamy,Ali Jinnah,Male
Nonsupporter Marianne,Anna Soubry,Female
Deb Lomando,Chuka Umunna,Male
Midw Pete,Francois Hollande,Male
Lorraine Oliver,Brigitte Trogneux,Female
Jocelyn Torre,Meenakshi Lekhi,Female
Tanya Duncan,David Malpass,Male
Laynette Evan,Sidney Blumenthal,Male
Victor Chicas,Teddy Roosevelt,Male
Rebeca Wolfe,Sharpe James,Male
Tom Flynn,Frank Lautenberg,Male
Janet Davis,Steve Lonegan,Male
Bill Lee,Amy Nielsen,Female
Henry Mcmaster,Mike Lee,Male
Brian Kemp,Bashar Assad,Male
Edx Futurelearn,David Cicilline,Male
Mooc Coursera,Tom Tancredo,Male
Shravan Goli,Matthew Tueller,Male
James Wallman,Tom Daschle,Male
Bianca Barratt,Javier Valdez,Male
Anant Agarwal,Randeep Guleria,Male
